time	best_bid	best_ask
0.0	15.07	15.08
0.099	15.07	15.08
0.198	15.07	15.08
0.3	15.07	15.08
0.397	15.07	15.08
0.497	15.07	15.08
0.597	15.07	15.08
0.697	15.07	15.08
0.798	15.07	15.08
1.098	15.07	15.08
1.396	15.06	15.07
1.498	15.06	15.07
1.598	15.06	15.07
1.699	15.06	15.07
1.798	15.06	15.07
1.897	15.06	15.07
1.998	15.06	15.07
2.098	15.06	15.07
2.199	15.06	15.07
2.299	15.06	15.07
2.4	15.06	15.07
2.496	15.06	15.07
2.598	15.06	15.07
2.796	15.06	15.07
2.898	15.06	15.07
2.999	15.06	15.07
3.098	15.06	15.07
3.198	15.06	15.07
3.398	15.06	15.07
3.498	15.06	15.07
3.697	15.06	15.07
3.896	15.06	15.07
3.997	15.06	15.07
4.097	15.06	15.07
4.198	15.06	15.07
4.298	15.06	15.07
4.398	15.06	15.07
4.499	15.06	15.07
4.699	15.06	15.07
4.799	15.06	15.07
4.898	15.06	15.07
5.099	15.06	15.07
5.198	15.06	15.07
5.297	15.06	15.07
5.399	15.06	15.07
5.497	15.06	15.07
5.6	15.06	15.07
5.699	15.06	15.07
5.9	15.06	15.07
6.1	15.06	15.07
6.2	15.06	15.07
6.301	15.06	15.07
6.398	15.06	15.07
6.699	15.06	15.07
6.799	15.06	15.07
6.898	15.06	15.07
6.999	15.06	15.07
7.299	15.06	15.07
7.399	15.06	15.07
7.599	15.06	15.07
7.699	15.06	15.07
8.099	15.06	15.07
8.401	15.06	15.07
8.502	15.06	15.07
8.602	15.07	15.08
8.701	15.07	15.08
8.799	15.07	15.08
8.902	15.07	15.08
9.002	15.07	15.08
9.102	15.07	15.08
9.202	15.07	15.08
9.299	15.07	15.08
9.4	15.07	15.08
9.501	15.07	15.08
9.599	15.07	15.08
9.701	15.07	15.08
9.8	15.07	15.08
10.001	15.07	15.08
10.102	15.07	15.08
10.201	15.07	15.08
10.303	15.07	15.08
10.401	15.07	15.08
10.503	15.07	15.08
10.603	15.07	15.08
10.703	15.07	15.08
10.902	15.07	15.08
11.502	15.07	15.08
11.903	15.07	15.08
12.003	15.07	15.08
12.302	15.07	15.08
12.402	15.07	15.08
12.703	15.07	15.08
12.802	15.07	15.08
12.903	15.07	15.08
13.003	15.07	15.08
13.102	15.07	15.08
13.204	15.07	15.08
13.307	15.07	15.08
13.404	15.07	15.08
13.505	15.07	15.08
13.602	15.07	15.08
13.703	15.07	15.08
13.803	15.07	15.08
13.903	15.07	15.08
14.003	15.07	15.08
14.103	15.07	15.08
14.202	15.07	15.08
14.504	15.07	15.08
14.603	15.07	15.08
14.702	15.07	15.08
14.903	15.07	15.08
15.003	15.07	15.08
15.103	15.07	15.08
15.204	15.07	15.08
15.304	15.07	15.08
15.703	15.07	15.08
15.904	15.07	15.08
16.403	15.07	15.08
16.504	15.07	15.08
16.704	15.07	15.08
16.804	15.07	15.08
16.904	15.07	15.08
17.005	15.07	15.08
17.107	15.07	15.08
17.207	15.07	15.08
17.305	15.07	15.08
17.407	15.07	15.08
17.506	15.07	15.08
17.606	15.07	15.08
17.706	15.07	15.08
17.806	15.07	15.08
17.906	15.07	15.08
18.006	15.07	15.08
18.106	15.07	15.08
18.204	15.07	15.08
18.305	15.07	15.08
18.408	15.07	15.08
18.507	15.07	15.08
18.605	15.07	15.08
18.705	15.07	15.08
18.905	15.07	15.08
19.004	15.08	15.09
19.107	15.08	15.09
19.205	15.08	15.09
19.305	15.08	15.09
19.406	15.08	15.09
19.504	15.08	15.09
19.605	15.08	15.09
19.707	15.08	15.09
19.806	15.08	15.09
19.907	15.08	15.09
20.007	15.08	15.09
20.206	15.08	15.09
20.307	15.08	15.09
20.407	15.08	15.09
20.506	15.08	15.09
20.706	15.08	15.09
20.806	15.08	15.09
21.305	15.08	15.09
21.406	15.08	15.09
21.708	15.08	15.09
21.806	15.08	15.09
22.407	15.08	15.09
22.507	15.08	15.09
22.607	15.08	15.09
23.008	15.08	15.09
23.209	15.08	15.09
23.41	15.08	15.09
23.508	15.08	15.09
23.807	15.08	15.09
23.908	15.08	15.09
24.107	15.08	15.09
24.209	15.08	15.09
24.309	15.08	15.09
24.408	15.08	15.09
24.508	15.08	15.09
24.609	15.08	15.09
24.71	15.08	15.09
24.811	15.08	15.09
25.208	15.08	15.09
25.509	15.07	15.08
25.61	15.07	15.08
25.714	15.07	15.08
25.814	15.07	15.08
25.911	15.07	15.08
26.008	15.07	15.08
26.109	15.07	15.08
26.21	15.07	15.08
26.31	15.07	15.08
26.41	15.07	15.08
26.51	15.07	15.08
